kappa,theta,sigma,price_euler1000,ci_euler1000,time_euler1000,price_euler30,ci_euler30,time_euler30,price_exact1000,ci_exact1000,time_exact1000,price_exact30,ci_exact30,time_exact30,price_ae1000,ci_ae1000,time_ae1000,price_ae30,ci_ae30,time_ae30
0.500,0.050,0.100,0.118937,0.000849,4.661,0.119398,0.000844,0.177,0.118955,0.000852,210.925,0.118421,0.000849,16.161,0.119272,0.000853,215.351,0.119454,0.000851,16.373
0.500,0.050,0.300,0.117227,0.000973,4.931,0.117769,0.000954,0.186,0.124826,0.001018,641.341,0.116070,0.000952,12.779,0.127984,0.001021,641.301,0.117356,0.000969,12.779
0.500,0.050,0.500,0.111889,0.001099,5.071,0.114067,0.001096,0.198,0.113611,0.001132,519.176,0.111955,0.001101,11.856,0.114765,0.001135,517.921,0.111691,0.001068,11.410
0.500,0.050,0.700,0.107020,0.001248,5.246,0.110425,0.001226,0.205,0.108016,0.001311,487.926,0.105398,0.001314,13.056,0.107675,0.001295,489.319,0.106647,0.001270,12.615
0.500,0.100,0.100,0.125858,0.000906,5.068,0.125399,0.000898,0.190,0.125499,0.000906,218.072,0.125582,0.000905,16.495,0.125824,0.000906,217.305,0.126612,0.000905,16.831
0.500,0.100,0.300,0.124362,0.001024,5.165,0.125387,0.001012,0.195,0.130663,0.001056,653.226,0.123909,0.001013,13.266,0.131171,0.001067,650.522,0.124535,0.001017,13.258
0.500,0.100,0.500,0.121182,0.001177,4.990,0.122392,0.001149,0.195,0.122682,0.001178,527.064,0.120413,0.001174,11.444,0.125301,0.001203,526.920,0.119751,0.001150,10.660
0.500,0.100,0.700,0.114152,0.001306,5.145,0.119136,0.001311,0.202,0.116684,0.001350,498.767,0.112753,0.001267,13.050,0.118343,0.001384,501.815,0.114754,0.001312,12.499
0.500,0.200,0.100,0.138774,0.001011,5.015,0.138430,0.001002,0.194,0.138485,0.001014,216.761,0.139016,0.001015,16.468,0.138374,0.001010,219.258,0.137801,0.001008,16.972
0.500,0.200,0.300,0.139047,0.001142,5.216,0.136784,0.001108,0.203,0.143469,0.001153,662.018,0.137816,0.001140,14.106,0.144178,0.001169,658.476,0.136271,0.001114,14.134
0.500,0.200,0.500,0.134834,0.001275,4.952,0.135181,0.001250,0.192,0.139883,0.001308,544.774,0.133665,0.001254,7.329,0.140973,0.001337,546.415,0.133558,0.001253,7.301
0.500,0.200,0.700,0.129171,0.001461,5.026,0.132956,0.001428,0.198,0.133269,0.001478,506.367,0.128084,0.001383,12.718,0.130835,0.001424,506.634,0.129076,0.001443,12.129
0.500,0.200,1.000,0.123236,0.001792,5.232,0.133579,0.001865,0.207,0.124477,0.001891,483.842,0.121794,0.001769,13.575,0.122235,0.001800,487.662,0.121034,0.001746,13.106
0.500,0.500,0.100,0.171893,0.001319,5.114,0.170425,0.001288,0.193,0.171520,0.001309,217.346,0.171355,0.001302,16.360,0.169678,0.001302,221.194,0.167117,0.001280,16.949
0.500,0.500,0.300,0.170373,0.001430,5.276,0.171062,0.001411,0.205,0.176359,0.001449,627.759,0.171243,0.001435,15.299,0.175914,0.001470,624.101,0.169193,0.001422,15.301
0.500,0.500,0.500,0.168162,0.001582,4.942,0.169754,0.001563,0.186,0.176203,0.001632,590.750,0.168226,0.001567,9.130,0.177480,0.001634,592.679,0.167422,0.001562,9.115
0.500,0.500,0.700,0.165933,0.001741,4.934,0.166951,0.001709,0.198,0.172024,0.001824,534.180,0.165067,0.001745,5.241,0.172257,0.001771,533.473,0.164157,0.001724,5.349
0.500,0.500,1.000,0.161402,0.002302,5.052,0.165616,0.002037,0.203,0.161694,0.002255,497.095,0.158514,0.002083,13.462,0.161860,0.002191,501.894,0.157849,0.001976,12.890
1.000,0.050,0.100,0.113534,0.000798,5.018,0.113776,0.000796,0.188,0.113442,0.000805,220.185,0.114174,0.000805,16.636,0.113777,0.000799,223.768,0.114589,0.000803,16.927
